evidence_record_id,study_reference_id,within_study_evidence_no,author_year,title,evidence_location,evidence_source_original,evidence_source_category,pathway_level_1_original,pathway_level_1_category,pathway_level_2_original,pathway_level_2_corrected_original,climate_factor_original,pathogen,amr_outcome_original,mechanism_chain_original,original_quote,evidence_type_original,evidence_type_category,mechanism_support_original,mechanism_support_category,effect_direction_original,effect_direction_category,time_scale_original,time_scale_category,spatial_context_original,spatial_context_category,extraction_date
EVID_88-M5,88,5,Xiang (2021),Seasonal change is a major driver of soil resistomes at a watershed scale,Discussion-p.5-para.1,3-Discussion数据解释,Discussion interpretation,2-环境介导,Environment-mediated pathways,2d-水土理化性质,2d-水土理化性质,其他-季节性,,耐药基因丰度增加,其他-季节性→（作者解释）季节作为综合代理变量，概括土壤理化条件多重变化→这些变化驱动土壤ARG格局→影响ARG丰度/分布,"“Thus, season is a comprehensive proxy that encapsulates many changes to soil physiochemical conditions that may be driving soil ARG patterns.” (p.5, para.1)",5-理论推测,Theoretical/projection,3-理论推测,Theoretical support,4-不确定,Uncertain,4-未明确,Conceptual or unclear,2-自然环境,Natural environment,2025-12-26
EVID_88-M6,88,6,Xiang (2021),Seasonal change is a major driver of soil resistomes at a watershed scale,Conclusions-p.6-para.1,2-Results+Discussion整合,Results and discussion integration,2-环境介导,Environment-mediated pathways,2a-微生物群落,2a-微生物群落,其他-季节性,,耐药基因丰度增加,其他-季节性→土壤ARG呈季节依赖性，并与ARG谱系季节差异显著负相关→结合模型分析提示“季节变异性”在塑造土壤ARG谱系中起重要作用→影响环境中ARG变化预测,"“ARGs were seasonally dependent. The significant distance-decay relationships identified in spring, summer and winter had low fitness indicating weak distance-decay patterns of soil resistomes. The significant negative correlation between soil ARG profiles and seasonal dissimilarity together with RF model, indicated that seasonal variability played a major role in shaping soil ARG profiles.” (p.6, para.1)",2-观察性数据,Observational,2-间接数据支持,Indirect empirical support,1-促进AMR,Promoting AMR,2-观察累积,Observational cumulative/seasonal,2-自然环境,Natural environment,2025-12-26
EVID_89-M1,89,1,Wu (2022),"Antibiotic resistance genes in Chishui River, a tributary of the Yangtze River, China: Occurrence, seasonal variation and its relationships with antibiotics, heavy metals and microbial communities",Results and discussion-p.7-para.1,2-Results+Discussion整合,Results and discussion integration,2-环境介导,Environment-mediated pathways,2f-其他环境介导,2c-微生物群落,其他-季节性,,环境/样本中耐药基因的绝对或相对数量增加,干季/雨季季节性变化→河流水体环境条件在不同季节发生改变→多数ARGs的平均绝对丰度在干季达到最高→环境中ARGs负荷升高,"“Overall, except for sul3 and erm36, the mean absolute abundance of ARGs reached the maximum in the dry season, and the seasonal variation characteristics of the same ARGs (ermB, erm36, sul1, sul3) were different.” (p.7, para.1)",2-观察性数据,Observational,2-间接数据支持,Indirect empirical support,1-促进AMR,Promoting AMR,2-观察累积,Observational cumulative/seasonal,2-自然环境,Natural environment,2025-12-26
EVID_89-M2,89,2,Wu (2022),"Antibiotic resistance genes in Chishui River, a tributary of the Yangtze River, China: Occurrence, seasonal variation and its relationships with antibiotics, heavy metals and microbial communities",Results and discussion-p.7-para.2,2-Results+Discussion整合,Results and discussion integration,2-环境介导,Environment-mediated pathways,2f-其他环境介导,2c-水文条件,其他-季节性,,环境/样本中耐药基因的绝对或相对数量增加,季节性（干季）→水体稀释/冲刷与输入输出格局改变→特定采样点（W14）ARGs在干季更高并出现累积→局地ARGs负荷升高,"“The abundance of ARGs in W14 (Gulin River) in the dry season was higher than that in other sampling sites (the average abundance of total resistance genes was 1.90 × 10^8 copies/L).” (p.7, para.2)",2-观察性数据,Observational,2-间接数据支持,Indirect empirical support,1-促进AMR,Promoting AMR,2-观察累积,Observational cumulative/seasonal,2-自然环境,Natural environment,2025-12-26
EVID_89-M3,89,3,Wu (2022),"Antibiotic resistance genes in Chishui River, a tributary of the Yangtze River, China: Occurrence, seasonal variation and its relationships with antibiotics, heavy metals and microbial communities",Results and discussion-p.7-para.2,3-Discussion数据解释,Discussion interpretation,2-环境介导,Environment-mediated pathways,2f-其他环境介导,2c-水文条件,其他-季节性,,环境/样本中耐药基因的绝对或相对数量增加,季节性水文/稀释过程→沿河向下游污染物与基因负荷被逐步稀释→ARGs沿河流方向呈下降趋势→ARGs环境丰度降低（但提示受水文稀释调控）,"“Among the four genes (sul1, sul3, tetA and tetW) with a detection rate of >50 %, except sul3, resistance genes showed a decreasing trend along the river direction, of which is consistent with the conclusion drawn by Lee et al., the dilution effect leads to a gradual decrease in ARG abundance along the river direction (Lee et al., 2021).” (p.7, para.2)",5-理论推测,Theoretical/projection,3-理论推测,Theoretical support,2-抑制AMR,Suppressing AMR,4-未明确,Conceptual or unclear,2-自然环境,Natural environment,2025-12-26
EVID_89-M4,89,4,Wu (2022),"Antibiotic resistance genes in Chishui River, a tributary of the Yangtze River, China: Occurrence, seasonal variation and its relationships with antibiotics, heavy metals and microbial communities",Results and discussion-p.4-para.3,3-Discussion数据解释,Discussion interpretation,2-环境介导,Environment-mediated pathways,2b-抗生素残留,2c-水文条件；2b-抗生素残留,降水-极端降雨,,环境/样本中耐药基因的绝对或相对数量增加,强降水（雨季）→径流增加导致河流中抗生素浓度被稀释→环境抗生素选择压力降低→ARGs扩增/维持压力下降（相对干季风险更低）,"“Overall, the concentration level of antibiotics in surface water in the dry season (54.18–425.74 ng/L) was higher than that in the rainy season (66.57–256.40 ng/L), and increased runoff caused by heavy precipitation in the rainy season may dilute the concentration of antibiotics in rivers (Luo et al., 2011).” (p.4, para.3)",2-观察性数据,Observational,2-间接数据支持,Indirect empirical support,4-不确定,Uncertain,2-观察累积,Observational cumulative/seasonal,2-自然环境,Natural environment,2025-12-26
EVID_89-M5,89,5,Wu (2022),"Antibiotic resistance genes in Chishui River, a tributary of the Yangtze River, China: Occurrence, seasonal variation and its relationships with antibiotics, heavy metals and microbial communities",Results and discussion-p.7-para.4,2-Results+Discussion整合,Results and discussion integration,2-环境介导,Environment-mediated pathways,2a-微生物群落,2a-微生物群落,其他-季节性,,环境/样本中耐药基因的绝对或相对数量增加,干季/雨季季节性变化→细菌群落多样性在雨季更高→潜在宿主/载体群落结构与多样性改变→ARGs的环境归趋与传播载体基础发生变化（影响ARGs传播风险）,"“The bacterial community diversity of samples in the rainy season was higher than that in the dry season, and the coverage rate of each sample was >95 %.” (p.7, para.4",2-观察性数据,Observational,2-间接数据支持,Indirect empirical support,4-不确定,Uncertain,2-观察累积,Observational cumulative/seasonal,2-自然环境,Natural environment,2025-12-26
EVID_90-M1,90,1,Wu (2024),"Non-negligible roles of upstream rivers in determining the antibiotic resistance gene community in an interconnected river-lake system (Dongting lake, China)",Discussion-p.7-para.1,3-Discussion数据解释,Discussion interpretation,2-环境介导,Environment-mediated pathways,2a-微生物群落,2c-水文条件,降水-年降雨量增加,NA（环境微生物群落/宏基因组）,耐药基因丰度增加,降水增加（湿季）→流域水动力/输入增强、环境条件改变→ARG呈明显季节格局→湿季ARG丰度显著高于旱季,"“In interconnected river-lake systems, our findings showed an obvious seasonal pattern, characterized by a substantially higher abundance of ARGs during the wet season compared to the dry season (Fernanda et al., 2022; Liang et al., 2020; Rao et al., 2024; Wang et al., 2020, 2021).” (p.7, para.1)",2-观察性数据,Observational,2-间接数据支持,Indirect empirical support,1-促进AMR,Promoting AMR,2-观察累积,Observational cumulative/seasonal,2-自然环境,Natural environment,2025-12-26
EVID_90-M2,90,2,Wu (2024),"Non-negligible roles of upstream rivers in determining the antibiotic resistance gene community in an interconnected river-lake system (Dongting lake, China)",Discussion-p.7-para.2,3-Discussion数据解释,Discussion interpretation,2-环境介导,Environment-mediated pathways,2d-水土理化性质,2d-水土理化性质,降水-年降雨量增加,NA（环境微生物群落/宏基因组）,耐药基因丰度增加,降水增加（湿季）→支流水量/入湖通量↑→重金属类型与输入量↑→重金属共选择压力增强→改变ARG组成并促进ARG维持/传播,"“During the wet season, increased precipitation in Dongting Lake basin resulted in a maximum water volume from tributaries (Ou et al., 2014), which potentially introduced a more types and larger amounts of heavy metals into the lake (Tables S5 and S6) (Bi et al., 2018; Li et al., 2013; Zhang et al., 2018). This, in turn, affected the composition of ARGs (Huang et al., 2012; X. Liu et al., 2018; L. Liu et al., 2018; Zhang et al., 2015).” (p.7, para.2)",2-观察性数据,Observational,2-间接数据支持,Indirect empirical support,1-促进AMR,Promoting AMR,2-观察累积,Observational cumulative/seasonal,2-自然环境,Natural environment,2025-12-26
EVID_90-M3,90,3,Wu (2024),"Non-negligible roles of upstream rivers in determining the antibiotic resistance gene community in an interconnected river-lake system (Dongting lake, China)",Discussion-p.7-para.4,3-Discussion数据解释,Discussion interpretation,2-环境介导,Environment-mediated pathways,2d-水土理化性质,2d-水土理化性质,温度-季节平均温度变化,NA（环境微生物群落/宏基因组）,耐药基因丰度增加,温度季节变化（湿季水温等环境因子改变）→水体理化性质（pH、DO等）与营养盐/重金属变化→ARG群落组成受环境筛选→影响ARG分布与丰度格局,"“Through Mantel analysis conducted in our study, a significant correlation was observed between ARGs communities and various environmental factors during the wet season, including nutrients (e.g. C and N), water temperature, pH, DO, and heavy metals (Fig. 3).” (p.7, para.4)",2-观察性数据,Observational,2-间接数据支持,Indirect empirical support,1-促进AMR,Promoting AMR,2-观察累积,Observational cumulative/seasonal,2-自然环境,Natural environment,2025-12-26
EVID_90-M4,90,4,Wu (2024),"Non-negligible roles of upstream rivers in determining the antibiotic resistance gene community in an interconnected river-lake system (Dongting lake, China)",Discussion-p.8-para.1,3-Discussion数据解释,Discussion interpretation,2-环境介导,Environment-mediated pathways,2d-水土理化性质,2d-水土理化性质,降水-干旱,NA（环境微生物群落/宏基因组）,耐药基因丰度增加,干旱/少雨（旱季）→湖泊水文状态更稳定、扩散与混合过程改变→耐药菌与ARG在水体-沉积物间随机扩散/交换增强→促进ARG在多栖息地定殖与扩散,"“These factors, not only enhanced the stability of the lake but also promoted the random diffusion of antibiotic-resistant bacteria and ARGs, enabling them to colonize, grow, or disperse across the different habitats (water and sediment) (Lin et al., 2021; Nnadozie and Odume, 2019; Suzuki et al., 2019). This diffusion process potentially introduces new ARGs into microbial communities and facilitates the mixing and exchange of ARGs between different microbial populations (Li et al., 2023; Lin et al., 2021).” (p.8, para.1)",5-理论推测,Theoretical/projection,3-理论推测,Theoretical support,1-促进AMR,Promoting AMR,4-未明确,Conceptual or unclear,2-自然环境,Natural environment,2025-12-26
EVID_90-M5,90,5,Wu (2024),"Non-negligible roles of upstream rivers in determining the antibiotic resistance gene community in an interconnected river-lake system (Dongting lake, China)",Conclusion-p.10-para.3,2-Results+Discussion整合,Results and discussion integration,2-环境介导,Environment-mediated pathways,2a-微生物群落,2a-微生物群落,降水-年降雨量增加; 降水-干旱,NA（环境微生物群落/宏基因组）,耐药基因丰度增加,湿季（降水更强）→确定性过程主导ARG群落组装、重金属等环境因子驱动→ARG群落结构受筛选；旱季（少雨）→随机过程主导且长江成为关键影响因子→推动ARG扩散与传播风险,"“During the wet season, deterministic processes dominated the assembly of ARGs communities, with environmental factors such as heavy metals serving as the main driving forces. However, during the dry season, stochastic processes dominated, and the Yangtze River became the significant factor influencing the ARGs.” (p.10, para.3)",2-观察性数据,Observational,2-间接数据支持,Indirect empirical support,1-促进AMR,Promoting AMR,2-观察累积,Observational cumulative/seasonal,2-自然环境,Natural environment,2025-12-26
EVID_91-M1,91,1,Wu (2020),Contamination profile of antibiotic resistance genes in ground water in comparison with surface water,Results-p.6-para.2,1-Results实验数据,Results,2-环境介导,Environment-mediated pathways,2d-水土理化性质,2d-水土理化性质,降水-季节模式改变,,耐药基因多样性增加,干湿季变化（dry vs wet）→地下水环境条件随季节变化→ARG多样性发生显著季节差异（dry season更高）,"“Shannon diversity index in groundwater (Fig. S2) showed that the diversity of ARGs was influenced by seasonal changes in groundwater (p < 0.05). The diversity of ARGs in the dry season was higher than that in the wet season.” (p.6, para.2",2-观察性数据,Observational,2-间接数据支持,Indirect empirical support,1-促进AMR,Promoting AMR,2-观察累积,Observational cumulative/seasonal,2-自然环境,Natural environment,2025-12-26
EVID_91-M2,91,2,Wu (2020),Contamination profile of antibiotic resistance genes in ground water in comparison with surface water,Results-p.6-para.5,1-Results实验数据,Results,2-环境介导,Environment-mediated pathways,2d-水土理化性质,2d-水土理化性质,降水-季节模式改变,,耐药基因丰度增加,干湿季变化（dry vs wet）→河流水体中部分ARG丰度出现显著季节差异→干季（dry season）ARG丰度显著升高,"“The univariate test showed that the abundances of tetH, blaTEM and uidA in river water from the dry season were significantly higher than those from the wet season (p < 0.01).” (p.6, para.5)",2-观察性数据,Observational,2-间接数据支持,Indirect empirical support,1-促进AMR,Promoting AMR,2-观察累积,Observational cumulative/seasonal,2-自然环境,Natural environment,2025-12-26
EVID_91-M3,91,3,Wu (2020),Contamination profile of antibiotic resistance genes in ground water in comparison with surface water,Results-p.6-para.3,1-Results实验数据,Results,2-环境介导,Environment-mediated pathways,2d-水土理化性质,2d-水土理化性质,降水-季节模式改变,,耐药基因多样性增加,干湿季变化（dry vs wet）→河流水体ARG群落结构/多样性随季节波动→ARG多样性在河流水体呈显著季节性变化,"“Additionally, the Shannon diversity index indicated that the ARG diversities had seasonal variations in river water (p < 0.01) but did not appear in sediment (Fig. S2).” (p.6, para.5)",2-观察性数据,Observational,2-间接数据支持,Indirect empirical support,4-不确定,Uncertain,2-观察累积,Observational cumulative/seasonal,2-自然环境,Natural environment,2025-12-26
EVID_91-M4,91,4,Wu (2020),Contamination profile of antibiotic resistance genes in ground water in comparison with surface water,Discussion-p.7-para.5,3-Discussion数据解释,Discussion interpretation,2-环境介导,Environment-mediated pathways,2d-水土理化性质,2d-水土理化性质,降水-季节模式改变,,耐药基因丰度增加,干湿季变化（dry vs wet）→地表水ARG分布总体差异不显著但特定基因丰度在干季升高→tetH与blaTEM在干季显著更高,"“According to Hotelling's T2 test, the distributions of ARGs in groundwater, surface water and sediment between two seasons had no significant difference. Only the abundance of tetH and blaTEM in surface water from the dry season were significantly higher than those in the wet season.” (p.7, para.3)",2-观察性数据,Observational,2-间接数据支持,Indirect empirical support,1-促进AMR,Promoting AMR,2-观察累积,Observational cumulative/seasonal,2-自然环境,Natural environment,2025-12-26
EVID_91-M5,91,5,Wu (2020),Contamination profile of antibiotic resistance genes in ground water in comparison with surface water,Discussion-p.7-para.5; Discussion-p.7-para.3,3-Discussion数据解释,Discussion interpretation,3-生态社会介导,Socio-ecological mediation,3g-其他社会介导,可删除,温度-季节性变化,,耐药基因丰度/分布季节性变化,冬夏季节变化→市政污水中抗生素浓度呈季节性（冬高夏低）→ARG季节性变化可能部分由抗生素浓度变化驱动,"“Seasonal variation of ARGs may be partly due to the changed antibiotics concentration. The concentration of antibiotics in municipal wastewater presented obvious seasonal variation: higher in winter and lower in summer,” (p.7, para.2) + “summer, which is positive and is associated with the usage of antibiotics in different seasons” (p.7, para.3)",5-理论推测,Theoretical/projection,3-理论推测,Theoretical support,1-促进AMR,Promoting AMR,4-未明确,Conceptual or unclear,3-人造环境,Built or engineered environment,2025-12-26
EVID_93-M1,93,1,Wang (2024),Wastewater surveillance for antibiotics and resistance genes in a river catchment: Spatiotemporal variations and the main drivers,Results and discussion-p.6-para.2,3-Discussion数据解释,Discussion interpretation,2-环境介导,Environment-mediated pathways,2a-微生物群落,2a-微生物群落,温度-季节平均温度变化,,耐药基因丰度增加,季节平均温度变化（夏>冬）→细菌群落绝对丰度受温度驱动改变→ARGs丰度在夏季相对更高→环境中耐药基因负荷上升,"“ARG abundance was higher during the summer than winter, as temperature was an important factor influencing the absolute abundance of the bacterial community (Zheng et al., 2018), which was also in agreement with this study.” (p.6, para.2)",2-观察性数据,Observational,2-间接数据支持,Indirect empirical support,1-促进AMR,Promoting AMR,2-观察累积,Observational cumulative/seasonal,3-人造环境,Built or engineered environment,2025-12-26
EVID_93-M2,93,2,Wang (2024),Wastewater surveillance for antibiotics and resistance genes in a river catchment: Spatiotemporal variations and the main drivers,Results and discussion-p.9-para.2,4-Discussion理论推测,Discussion theoretical interpretation,1-直接生物学效应,Direct biological mechanisms,1h-其他直接生物学,1c-水平基因转移,温度-季节平均温度变化,,HGT频率增加,温度与太阳辐射/紫外辐射增强→整合酶（integrases）活性增强→ARGs水平转移更易发生→HGT频率增加并促进耐药基因扩散,"“Environmental conditions, such as temperature and solar radiation, have been evidenced to promote the horizontal transfer of ARGs by enhancing the activity of integrases (Wang et al., 2022).” (p.9, para.2)",5-理论推测,Theoretical/projection,3-理论推测,Theoretical support,1-促进AMR,Promoting AMR,4-未明确,Conceptual or unclear,5-未明确,Mixed or unspecified,2025-12-26
EVID_93-M3,93,3,Wang (2024),Wastewater surveillance for antibiotics and resistance genes in a river catchment: Spatiotemporal variations and the main drivers,Results and discussion-p.9-para.2,3-Discussion数据解释,Discussion interpretation,2-环境介导,Environment-mediated pathways,2f-其他环境介导,2c-水文条件,降水-年降雨量增加,,耐药基因丰度增加,年降雨量增加→年径流/河流冲刷与稀释增强→河流中ARGs发生频率/浓度受径流负向驱动下降→耐药基因丰度降低（稀释效应）,"“As shown in Fig. 5F, the levels were positively correlation with prescription data (0.46), per capital GDP (0.25), and population served (0.57), and negatively correlated with annual runoff (−0.49).” (p.9, para.2)",2-观察性数据,Observational,2-间接数据支持,Indirect empirical support,2-抑制AMR,Suppressing AMR,2-观察累积,Observational cumulative/seasonal,2-自然环境,Natural environment,2025-12-26
EVID_93-M4,93,4,Wang (2024),Wastewater surveillance for antibiotics and resistance genes in a river catchment: Spatiotemporal variations and the main drivers,Results and discussion-p.9-para.2,3-Discussion数据解释,Discussion interpretation,2-环境介导,Environment-mediated pathways,2f-其他环境介导,2c-水文条件,降水-季节模式改变,,耐药基因丰度增加,降水季节模式改变→径流（runoff）时空差异改变→与抗生素使用及社会经济活动共同作用→影响河流/污水中ARGs分布格局与水平→改变耐药基因丰度,"“This suggests that variations in precipitation (runoff), antibiotic usage, and socio-economic activities affect the distribution patterns of ARGs in rivers (Sabri et al., 2020; Awad et al., 2015).” (p.9, para.2)",5-理论推测,Theoretical/projection,3-理论推测,Theoretical support,4-不确定,Uncertain,4-未明确,Conceptual or unclear,2-自然环境,Natural environment,2025-12-26
EVID_93-M5,93,5,Wang (2024),Wastewater surveillance for antibiotics and resistance genes in a river catchment: Spatiotemporal variations and the main drivers,Conclusion-p.9-para.3,2-Results+Discussion整合,Results and discussion integration,2-环境介导,Environment-mediated pathways,2f-其他环境介导,2c-水文条件,温度-季节平均温度变化,,耐药基因丰度增加,季节平均温度变化（秋季vs春季）→ARGs在不同季节出现稳定的季节差异与分布格局→导致流域/污水与受纳水体ARGs发生“inter-season”变化→耐药基因丰度发生季节性波动,"“The peak values were found on the weekends, and the change patterns of ARGs were constant inter-week and inter-season (autumn and spring).” (p.9, para.3)",2-观察性数据,Observational,2-间接数据支持,Indirect empirical support,4-不确定,Uncertain,2-观察累积,Observational cumulative/seasonal,3-人造环境,Built or engineered environment,2025-12-26
EVID_94-M1,94,1,Wang (2022),Seasonal distribution of antibiotic resistance genes under the influence of land-ocean interaction in a semi-enclosed bay,Results and discussion-p.4-para.2,1-Results实验数据,Results,2-环境介导,Environment-mediated pathways,2d-水土理化性质,2d-水土理化性质,温度-季节平均温度变化,,耐药基因丰度增加,温度季节变化（夏季水温更高）→与ARG丰度显著正相关→高温季节ARG绝对丰度升高→推动沿海海湾水体ARG增加,"“Water temperature was regarded as a significant factor to drive the change of bacterial community and ARGs (Zheng et al., 2018). It was found that the abundance of ARGs in summer (21–26 °C) was the highest (2.81 × 10⁹ copies/L) through the year (2–5 °C) was significantly lower (0.12–0.36 times), and other seasons reported by Zheng et al. (2018).” (p.4, para.2)",2-观察性数据,Observational,2-间接数据支持,Indirect empirical support,1-促进AMR,Promoting AMR,2-观察累积,Observational cumulative/seasonal,2-自然环境,Natural environment,2025-12-26
EVID_94-M2,94,2,Wang (2022),Seasonal distribution of antibiotic resistance genes under the influence of land-ocean interaction in a semi-enclosed bay,Results and discussion-p.7-para.6,2-Results+Discussion整合,Results and discussion integration,2-环境介导,Environment-mediated pathways,2d-水土理化性质,2d-水土理化性质,降水-极端降雨,,耐药基因丰度增加,降雨增加→淡水输入与稀释效应改变→降雨最少季节稀释效应最弱→沿海水体ARG水平升高,"“The average monthly rainfall was shown in Fig. 7. Autumn was the season with the least rainfall and dilution effect on ARGs in Yantai, which leading to the higher ARGs abundance in coastal waters, TN and TP reflected the nutrient level of waters and were positively correlated with ARGs and intI1 (Lu et al., 2020, 2022b; )” (p.7, para.6)",2-观察性数据,Observational,2-间接数据支持,Indirect empirical support,1-促进AMR,Promoting AMR,2-观察累积,Observational cumulative/seasonal,2-自然环境,Natural environment,2025-12-26
EVID_94-M3,94,3,Wang (2022),Seasonal distribution of antibiotic resistance genes under the influence of land-ocean interaction in a semi-enclosed bay,Results and discussion-p.7-para.6,1-Results实验数据,Results,2-环境介导,Environment-mediated pathways,2d-水土理化性质,2d-水土理化性质,温度-季节平均温度变化,,耐药基因丰度增加,温度、盐度及营养盐等环境变量季节变化→共同解释ARG丰度变化→PCA/RDA显示温度与营养盐为关键驱动→推动ARG在不同季节增殖,"“It was illustrated that the ARGs proliferation of the samples was influenced by the significant environmental factors. As shown in Fig. 6b, TN, TP, salinity, nitrate, silicate and temperature were the significant environmental variables affecting ARGs proliferation.” (p.7, para.6)",2-观察性数据,Observational,2-间接数据支持,Indirect empirical support,1-促进AMR,Promoting AMR,2-观察累积,Observational cumulative/seasonal,2-自然环境,Natural environment,2025-12-26
EVID_94-M4,94,4,Wang (2022),Seasonal distribution of antibiotic resistance genes under the influence of land-ocean interaction in a semi-enclosed bay,Results and discussion-p.5-para.2,3-Discussion数据解释,Discussion interpretation,2-环境介导,Environment-mediated pathways,2d-水土理化性质,2d-水土理化性质,温度-季节平均温度变化,,耐药基因丰度增加,高温→水体溶解氧下降→改变好氧/厌氧菌群结构→促使ARG与移动遗传元件传播→ARG传输与扩增,"“Dissolved oxygen would be reduced at high temperature, and the lower dissolved oxygen would inevitably affect the microbial community structure of aerobic bacteria and anaerobic bacteria in the aquatic environment (Sun et al., 2021). Therefore, dissolved oxygen in the sampling environment was identified as an important factor related to the absolute abundance of ARGs (Rodriguez et al., 2021). Rainfall was reported as a mobile reservoir to facilitate the transmission and proliferation of ARGs and mobile genetic elements (MGEs) from other media to soil (Pallares-Vega et al., 2021).” (p.5, para.2)",5-理论推测,Theoretical/projection,3-理论推测,Theoretical support,1-促进AMR,Promoting AMR,4-未明确,Conceptual or unclear,2-自然环境,Natural environment,2025-12-26
EVID_94-M5,94,5,Wang (2022),Seasonal distribution of antibiotic resistance genes under the influence of land-ocean interaction in a semi-enclosed bay,Conclusions-p.8-para.2,2-Results+Discussion整合,Results and discussion integration,2-环境介导,Environment-mediated pathways,2a-微生物群落,2a-微生物群落,温度-季节平均温度变化,,耐药基因丰度增加,温度、降雨稀释效应、海水分层与陆源排放等季节性变化→共同驱动ARG季节分布→导致表层海水ARG在特定季节上升,"“In brief, the land-based discharge, seawater stratification, rainfall dilution effect, and human activity intensity were the main driving factors for the seasonal proliferation of ARGs. The proposed mechanisms for the seasonal proliferation of ARGs in coastal bay under the influence of land-ocean interaction were summarized as Fig. 7. The predominant driving factors including the land-based discharge and seawater stratification increased from spring to summer, which led to the sharp increase in ARGs abundance.” (p.8, para.2)",2-观察性数据,Observational,2-间接数据支持,Indirect empirical support,1-促进AMR,Promoting AMR,2-观察累积,Observational cumulative/seasonal,2-自然环境,Natural environment,2025-12-26
EVID_95-M1,95,1,Wang (2020),"Occurrence, distribution, and source track of antibiotics and antibiotic resistance genes in the rivers of Chongqing city, southwestern China",Results and discussion-p.9-para.1,1-Results实验数据,Results,2-环境介导,Environment-mediated pathways,2a-微生物群落,可删除,其他-季节性,,耐药基因丰度增加,季节性（March vs September）→ARG相对丰度呈季节差异→March更高→耐药基因丰度增加,"“In summary, the relative abundance of ARGs was higher in March than that in September, higher in waters than in sediments, and higher in downtown than in county.” (p.9, para.1)",2-观察性数据,Observational,2-间接数据支持,Indirect empirical support,1-促进AMR,Promoting AMR,2-观察累积,Observational cumulative/seasonal,2-自然环境,Natural environment,2025-12-26
EVID_95-M2,95,2,Wang (2020),"Occurrence, distribution, and source track of antibiotics and antibiotic resistance genes in the rivers of Chongqing city, southwestern China",Results and discussion-p.9-para.2,2-Results+Discussion整合,Results and discussion integration,3-生态社会介导,Socio-ecological mediation,3b-人用抗生素,可删除,其他-季节性,,耐药基因丰度增加,季节性（March vs September）→粪源污染指示物（MST）相对丰度呈季节差异→与抗生素分布一致→可能增强耐药相关选择压力,"“The results of the detection frequencies of HF183 and Pig-2-Bac in this study were 100 % and 83.33 % (n = 48), respectively, and the average relative abundance of HF183 and Pig-2-Bac in water and sediments were higher in March than those in September, which was consistent with the distribution of antibiotics.” (p.9, para.2)",2-观察性数据,Observational,2-间接数据支持,Indirect empirical support,1-促进AMR,Promoting AMR,2-观察累积,Observational cumulative/seasonal,2-自然环境,Natural environment,2025-12-26
EVID_95-M3,95,3,Wang (2020),"Occurrence, distribution, and source track of antibiotics and antibiotic resistance genes in the rivers of Chongqing city, southwestern China",Results and discussion-p.10-para.4,2-Results+Discussion整合,Results and discussion integration,2-环境介导,Environment-mediated pathways,2d-水土理化性质,2d-水土理化性质,温度-季节性变化,,耐药基因丰度增加,温度等理化因子（September水体）→调控抗生素与MST指示物分布→环境条件变化与耐药相关暴露背景耦合,"“Temperature, pH, oxidation reduction potential, total organic carbon and nitrite were the main factors that regulated the distribution and occurrence of antibiotics (STZ, SMZ, SMX, NOR and RTM) and MST (HF183) indicators in waters in September of this study with most of their p value lower than 0.05 (Fig. 5c).” (p.10, para.4)",2-观察性数据,Observational,2-间接数据支持,Indirect empirical support,1-促进AMR,Promoting AMR,2-观察累积,Observational cumulative/seasonal,2-自然环境,Natural environment,2025-12-26
EVID_95-M4,95,4,Wang (2020),"Occurrence, distribution, and source track of antibiotics and antibiotic resistance genes in the rivers of Chongqing city, southwestern China",Results and discussion-p.10-para.4,2-Results+Discussion整合,Results and discussion integration,2-环境介导,Environment-mediated pathways,2d-水土理化性质,2d-水土理化性质,温度-季节性变化,,耐药基因丰度增加,温度等理化因子（September水体）→对ARG分布影响不显著→提示“气候/理化→ARG”在该月不一定成立,"“However, the occurrence and distribution of target ARGs were not affected by detected physio-chemical properties in water in September.” (p.10, para.4)",2-观察性数据,Observational,2-间接数据支持,Indirect empirical support,4-不确定,Uncertain,2-观察累积,Observational cumulative/seasonal,2-自然环境,Natural environment,2025-12-26
EVID_95-M5,95,5,Wang (2020),"Occurrence, distribution, and source track of antibiotics and antibiotic resistance genes in the rivers of Chongqing city, southwestern China",Results and discussion-p.10-para.4,2-Results+Discussion整合,Results and discussion integration,2-环境介导,Environment-mediated pathways,2d-水土理化性质,2d-水土理化性质,温度-季节性变化,,耐药基因丰度增加,温度变化→粪源指示物HF183与温度呈负相关→提示气候相关因子可影响粪源输入/存活→间接影响AMR暴露背景,"“HF183 showed positive correlation with pH and chemical oxygen demand (p < 0.05) but negative correlation with temperature and dissolved oxygen contents (p < 0.05).” (p.10, para.4)",2-观察性数据,Observational,2-间接数据支持,Indirect empirical support,1-促进AMR,Promoting AMR,2-观察累积,Observational cumulative/seasonal,2-自然环境,Natural environment,2025-12-26
